orderID,timestamp,orderStatus,totalPrice,processedByEmployee
1,2026-08-24 11:56:00,Completed,31.16,1
2,2026-08-24 21:18:00,Completed,16.37,5
3,2026-08-24 13:35:00,Completed,26.17,5
4,2026-08-24 17:53:00,Completed,10.9,4
5,2026-08-24 11:57:00,Completed,10.92,1
6,2026-08-24 20:45:00,Completed,5.31,1
7,2026-08-24 14:22:00,Completed,19.59,2
8,2026-08-24 13:37:00,Completed,25.92,3
9,2026-08-24 21:08:00,Completed,18.04,4
10,2026-08-24 10:23:00,Completed,31.9,4
11,2026-08-24 14:45:00,Completed,19.04,4
12,2026-08-24 14:56:00,Completed,12.32,5
13,2026-08-24 16:05:00,Completed,22.53,4
14,2026-08-24 11:59:00,Completed,7.74,4
15,2026-08-24 18:34:00,Completed,25.88,3
16,2026-08-24 17:34:00,Completed,21.63,1
17,2026-08-24 19:09:00,Completed,17.27,5
18,2026-08-24 18:33:00,Completed,11.67,4
19,2026-08-24 21:28:00,Completed,5.56,4
20,2026-08-24 17:40:00,Completed,29.29,3
21,2026-08-24 15:23:00,Completed,12.86,3
22,2026-08-24 18:02:00,Completed,29.99,5
23,2026-08-24 21:47:00,Completed,22.65,1
24,2026-08-24 16:55:00,Completed,17.14,3
25,2026-08-24 14:16:00,Completed,19.06,1
26,2026-08-24 13:20:00,Completed,22.86,5
27,2026-08-24 20:15:00,Completed,7.8,3
28,2026-08-24 12:41:00,Completed,17.65,3
29,2026-08-24 15:40:00,Completed,8.45,5
30,2026-08-24 14:52:00,Completed,7.3,3
31,2026-08-24 21:05:00,Completed,31.38,5
32,2026-08-24 18:25:00,Completed,28.06,5
33,2026-08-24 20:22:00,Completed,23.88,2
34,2026-08-24 12:02:00,Completed,25.58,3
35,2026-08-24 13:06:00,Completed,25.37,3
36,2026-08-24 20:34:00,Completed,10.81,4
37,2026-08-24 19:59:00,Completed,16.54,4
38,2026-08-24 21:57:00,Completed,32.5,3
39,2026-08-24 17:20:00,Completed,29.97,3
40,2026-08-24 17:18:00,Completed,11.81,4
41,2026-08-24 10:42:00,Completed,8.52,1
42,2026-08-24 14:38:00,Completed,23.21,4
43,2026-08-24 11:24:00,Completed,23.32,5
44,2026-08-24 18:01:00,Completed,19.02,1
45,2026-08-24 18:29:00,Completed,21.93,4
46,2026-08-24 13:13:00,Completed,24.08,1
47,2026-08-24 21:39:00,Completed,18.38,4
48,2026-08-24 15:50:00,Completed,12.35,5
49,2026-08-24 20:18:00,Completed,13.0,5
50,2026-08-24 18:58:00,Completed,7.55,4
51,2026-08-24 14:01:00,Completed,32.5,4
52,2026-08-24 16:15:00,Completed,29.98,2
53,2026-08-24 16:05:00,Completed,16.45,4
54,2026-08-24 12:51:00,Completed,20.89,2
55,2026-08-24 17:48:00,Completed,11.94,1
56,2026-08-24 10:07:00,Completed,8.74,2
57,2026-08-24 17:33:00,Completed,32.5,2
58,2026-08-24 19:54:00,Completed,27.08,5
59,2026-08-24 14:51:00,Completed,18.7,3
60,2026-08-24 19:15:00,Completed,11.59,1
61,2026-08-24 15:10:00,Completed,24.14,4
62,2026-08-24 19:25:00,Completed,12.68,5
63,2026-08-24 12:45:00,Completed,7.55,1
64,2026-08-24 21:05:00,Completed,25.27,4
65,2026-08-24 16:31:00,Completed,10.19,3
66,2026-08-24 16:59:00,Completed,13.32,2
67,2026-08-24 14:01:00,Completed,12.52,4
68,2026-08-24 20:18:00,Completed,21.35,4
69,2026-08-24 12:51:00,Completed,31.16,5
70,2026-08-24 16:11:00,Completed,17.24,5
71,2026-08-24 13:58:00,Completed,18.64,3
72,2026-08-24 21:33:00,Completed,10.95,4
73,2026-08-24 12:23:00,Completed,21.66,5
74,2026-08-24 20:14:00,Completed,29.6,2
75,2026-08-24 14:18:00,Completed,10.58,1
76,2026-08-24 12:12:00,Completed,20.15,3
77,2026-08-24 17:08:00,Completed,15.41,5
78,2026-08-24 21:45:00,Completed,6.24,5
79,2026-08-24 12:50:00,Completed,16.63,5
80,2026-08-24 18:14:00,Completed,34.33,3
81,2026-08-24 17:39:00,Completed,12.9,2
82,2026-08-24 14:02:00,Completed,6.04,1
83,2026-08-24 12:55:00,Completed,29.07,1
84,2026-08-24 16:24:00,Completed,5.98,2
85,2026-08-24 12:03:00,Completed,16.39,1
86,2026-08-24 18:25:00,Completed,24.65,3
87,2026-08-24 13:17:00,Completed,5.34,5
88,2026-08-24 18:37:00,Completed,7.23,4
89,2026-08-24 12:23:00,Completed,16.02,3
90,2026-08-24 18:26:00,Completed,12.6,4
91,2026-08-24 16:23:00,Completed,33.11,4
92,2026-08-24 19:41:00,Completed,7.02,4
93,2026-08-24 11:50:00,Completed,12.96,1
94,2026-08-24 17:01:00,Completed,27.82,1
95,2026-08-24 15:05:00,Completed,28.47,4
96,2026-08-24 13:42:00,Completed,28.59,1
97,2026-08-24 13:54:00,Completed,13.82,2
98,2026-08-24 11:41:00,Completed,6.37,5
99,2026-08-24 21:56:00,Completed,8.57,1
100,2026-08-24 21:47:00,Completed,16.09,2
101,2026-08-24 10:47:00,Completed,31.61,5
102,2026-08-24 14:09:00,Completed,22.21,3
103,2026-08-24 11:58:00,Completed,17.87,3
104,2026-08-24 19:33:00,Completed,9.74,3
105,2026-08-24 12:31:00,Completed,18.26,2
106,2026-08-24 12:43:00,Completed,33.64,1
107,2026-08-24 19:33:00,Completed,27.41,5
108,2026-08-24 20:15:00,Completed,21.12,4
109,2026-08-24 19:09:00,Completed,22.52,2
110,2026-08-24 13:45:00,Completed,30.28,4
111,2026-08-24 15:40:00,Completed,32.21,1
112,2026-08-24 14:25:00,Completed,31.81,2
113,2026-08-24 19:54:00,Completed,24.35,2
114,2026-08-24 19:46:00,Completed,21.77,5
115,2026-08-24 15:32:00,Completed,32.16,1
116,2026-08-24 16:43:00,Completed,14.31,3
117,2026-08-24 11:19:00,Completed,12.47,1
118,2026-08-24 19:17:00,Completed,15.7,4
119,2026-08-24 20:26:00,Completed,16.19,5
120,2026-08-24 20:08:00,Completed,11.84,3
121,2026-08-24 21:37:00,Completed,6.22,4
122,2026-08-24 11:18:00,Completed,33.13,4
123,2026-08-24 18:08:00,Completed,34.25,2
124,2026-08-24 15:29:00,Completed,26.46,2
125,2026-08-24 21:24:00,Completed,29.41,5
126,2026-08-24 15:54:00,Completed,9.19,2
127,2026-08-24 21:48:00,Completed,22.68,1
128,2026-08-24 20:25:00,Completed,5.63,3
129,2026-08-24 10:04:00,Completed,27.21,2
130,2026-08-24 21:56:00,Completed,33.82,4
131,2026-08-24 20:42:00,Completed,9.23,3
132,2026-08-24 17:10:00,Completed,24.93,5
133,2026-08-24 17:24:00,Completed,13.92,5
134,2026-08-24 15:36:00,Completed,22.64,1
135,2026-08-24 18:32:00,Completed,26.5,3
136,2026-08-24 17:53:00,Completed,16.51,3
137,2026-08-24 14:10:00,Completed,30.51,3
138,2026-08-24 20:58:00,Completed,6.94,1
139,2026-08-24 16:13:00,Completed,16.65,5
140,2026-08-24 13:40:00,Completed,33.03,4
141,2026-08-24 14:45:00,Completed,30.38,1
142,2026-08-24 17:09:00,Completed,5.37,1
143,2026-08-24 11:47:00,Completed,5.22,4
144,2026-08-24 16:23:00,Completed,7.01,4
145,2026-08-24 20:17:00,Completed,19.43,2
146,2026-08-24 13:37:00,Completed,6.53,5
147,2026-08-24 11:24:00,Completed,19.58,4
148,2026-08-24 18:30:00,Completed,20.66,1
149,2026-08-24 12:28:00,Completed,17.07,5
150,2026-08-24 11:42:00,Completed,12.13,5
151,2026-08-24 15:17:00,Completed,32.34,3
152,2026-08-24 15:22:00,Completed,15.8,5
